round1,round2,round3,round4,round5
300,486,705,1128,1987
301,488,706,1136,2016
302,490,707,1137,2022
303,491,708,1138,2037
304,492,732,1140,2046
305,493,735,1141,2047
306,494,736,1148,2048
307,495,737,1152,2049
308,496,740,1153,2109
309,497,741,1154,2114
310,498,742,1155,2129
311,499,756,1156,2130
312,500,757,1157,2153
313,501,761,1158,2154
314,503,772,1160,2155
315,504,773,1161,2156
316,505,777,1163,2157
317,506,780,1175,2178
318,507,781,1177,2179
319,508,783,1178,2189
320,509,784,1179,2190
321,510,785,1180,2192
322,511,786,1191,2193
323,513,787,1195,2196
324,514,788,1196,2197
325,515,789,1201,2220
326,517,790,1202,2221
327,518,792,1203,2222
328,519,794,1228,2233
329,521,795,1232,2234
330,523,796,1237,2250
331,524,797,1238,2251
332,525,798,1256,2260
333,526,799,1257,2261
334,527,801,1258,2262
335,528,802,1264,2263
336,529,803,1265,2264
337,530,806,1273,2265
338,531,807,1274,2269
339,532,808,1276,2270
340,533,811,1280,2271
341,536,815,1281,2272
342,537,816,1282,2273
343,538,817,1283,2277
344,539,818,1284,2278
345,540,819,1285,2279
346,541,821,1289,2280
347,542,825,1290,2281
348,546,833,1291,2286
349,547,835,1292,2287
350,551,836,1293,2288
351,552,837,1294,2289
352,558,838,1295,2299
353,561,839,1299,2300
354,562,840,1300,2301
355,563,841,1301,2302
356,565,842,1302,2304
357,566,843,1303,2312
358,567,844,1307,
359,568,845,1309,
360,570,846,1313,
361,571,849,1319,
362,573,850,1322,
363,575,858,1323,
364,577,876,1324,
365,579,887,1325,
366,580,890,1327,
367,581,893,1328,
368,582,895,1329,
369,584,900,1330,
370,587,904,1331,
371,591,905,1360,
372,592,906,1361,
373,593,910,1364,
374,596,911,1365,
375,601,912,1366,
376,602,913,1371,
377,603,914,1391,
378,606,915,1396,
379,608,917,1397,
380,609,918,1400,
381,611,919,1413,
382,612,924,1415,
383,613,925,1425,
384,617,926,1426,
385,619,927,1428,
386,620,931,1440,
387,623,932,1441,
388,628,933,1442,
389,629,942,1462,
390,630,943,1473,
391,631,944,1474,
392,632,945,1480,
393,633,946,1481,
394,634,947,1482,
395,635,948,1492,
396,636,952,1493,
397,637,953,1494,
398,639,955,1495,
399,641,956,1498,
400,642,959,1501,
401,643,964,1502,
402,644,965,1503,
403,645,966,1505,
404,650,974,1511,
405,651,975,1523,
406,652,976,1524,
407,653,978,1529,
408,656,979,1531,
409,657,987,1532,
410,658,988,1533,
411,659,994,1534,
412,661,998,1535,
413,662,1012,1536,
414,664,1013,1540,
415,666,1014,1542,
416,667,1018,1543,
417,669,1019,1552,
418,671,1023,1558,
419,674,1025,1559,
420,675,1027,1560,
421,676,1028,1561,
422,677,1029,1562,
423,678,1035,1563,
424,682,1036,1564,
425,683,1043,1565,
426,685,1044,1566,
427,686,1049,1567,
428,687,1050,1568,
429,689,1051,1569,
430,691,1067,1570,
431,692,1068,1571,
432,693,1070,1572,
433,694,1071,1577,
434,695,1072,1581,
435,696,1073,1601,
436,697,1076,1602,
437,698,1082,1605,
438,699,1085,1606,
439,700,1086,1607,
440,701,1094,1608,
441,702,1095,1610,
442,703,1098,1611,
443,704,1100,1615,
444,705,1101,1616,
445,706,1102,1636,
446,707,1103,1637,
447,708,1104,1647,
448,711,1105,1648,
449,720,1106,1674,
450,726,1107,1688,
451,728,1108,1691,
452,731,1109,1692,
453,732,1110,1694,
454,734,1111,1695,
455,735,1115,1701,
456,736,1116,1719,
457,737,1118,1724,
458,739,1121,1725,
459,740,1122,1727,
460,741,1123,1728,
461,742,1125,1729,
462,746,1126,1735,
463,752,1127,1736,
464,754,1128,1748,
465,756,1130,1749,
466,757,1132,1760,
467,761,1135,1761,
468,765,1136,1763,
469,767,1137,1766,
470,772,1138,1767,
471,773,1139,1780,
472,776,1140,1781,
473,777,1141,1782,
474,779,1144,1785,
475,780,1147,1786,
476,781,1148,1790,
477,783,1151,1791,
478,784,1152,1792,
479,785,1153,1793,
480,786,1154,1794,
481,787,1155,1795,
482,788,1156,1798,
483,789,1157,1799,
484,790,1158,1800,
485,792,1159,1801,
486,793,1160,1807,
487,794,1161,1810,
488,795,1163,1811,
489,796,1165,1812,
490,797,1168,1820,
491,798,1174,1823,
492,799,1175,1834,
493,800,1176,1835,
494,801,1177,1840,
495,802,1178,1841,
496,803,1179,1842,
497,805,1180,1851,
498,806,1188,1854,
499,807,1190,1861,
500,808,1191,1874,
501,810,1194,1875,
502,811,1195,1876,
503,814,1196,1877,
504,815,1200,1888,
505,816,1201,1889,
506,817,1202,1898,
507,818,1203,1904,
508,819,1207,1913,
509,820,1215,1914,
510,821,1225,1916,
511,823,1228,1917,
512,824,1231,1921,
513,825,1232,1922,
514,827,1233,1923,
515,832,1236,1924,
516,833,1237,1925,
517,834,1238,1926,
518,835,1243,1927,
519,836,1255,1928,
520,837,1256,1929,
521,838,1257,1938,
522,839,1258,1941,
523,840,1260,1942,
524,841,1263,1943,
525,842,1264,1946,
526,843,1265,1947,
527,844,1268,1948,
528,845,1272,1951,
529,846,1273,1955,
530,848,1274,1956,
531,849,1275,1957,
532,850,1276,1959,
533,852,1279,1966,
534,857,1280,1967,
535,858,1281,1968,
536,860,1282,1969,
537,861,1283,1973,
538,866,1284,1979,
539,870,1285,1980,
540,875,1288,1983,
541,876,1289,1985,
542,886,1290,1986,
543,887,1291,1987,
544,889,1292,1988,
545,890,1293,1991,
546,892,1294,1992,
547,893,1295,2010,
548,894,1298,2015,
549,895,1299,2016,
550,899,1300,2021,
551,900,1301,2022,
552,903,1302,2023,
553,904,1303,2036,
554,905,1306,2037,
555,906,1307,2041,
556,909,1308,2045,
557,910,1309,2046,
558,911,1312,2047,
559,912,1313,2048,
560,913,1318,2049,
561,914,1319,2059,
562,915,1322,2073,
563,916,1323,2081,
564,917,1324,2108,
565,918,1325,2109,
566,919,1327,2111,
567,924,1328,2114,
568,925,1329,2116,
569,926,1330,2125,
570,927,1331,2127,
571,930,1335,2128,
572,931,1337,2129,
573,932,1359,2130,
574,933,1360,2141,
575,937,1361,2151,
576,938,1364,2152,
577,941,1365,2153,
578,942,1366,2154,
579,943,1371,2155,
580,944,1383,2156,
581,945,1388,2157,
582,946,1391,2161,
583,947,1395,2162,
584,948,1396,2167,
585,951,1397,2168,
586,952,1400,2172,
587,953,1405,2177,
588,955,1408,2178,
589,956,1413,2179,
590,958,1415,2180,
591,959,1423,2181,
592,963,1424,2182,
593,964,1425,2187,
594,965,1426,2188,
595,966,1427,2189,
596,969,1428,2190,
597,973,1432,2192,
598,974,1436,2193,
599,975,1440,2194,
600,976,1441,2195,
601,978,1442,2196,
602,979,1448,2197,
603,982,1453,2215,
604,983,1461,2220,
605,986,1462,2221,
606,987,1465,2222,
607,988,1472,2232,
608,991,1473,2233,
609,993,1474,2234,
610,994,1479,2238,
611,997,1480,2243,
612,998,1481,2249,
613,1000,1482,2250,
614,1002,1487,2251,
615,1005,1489,2259,
616,1009,1492,2260,
617,1011,1493,2261,
618,1012,1494,2262,
619,1013,1495,2263,
620,1014,1497,2264,
621,1017,1498,2265,
622,1018,1500,2268,
623,1019,1501,2269,
624,1023,1502,2270,
625,1024,1503,2271,
626,1025,1504,2272,
627,1027,1505,2273,
628,1028,1510,2276,
629,1029,1511,2277,
630,1030,1512,2278,
631,1032,1515,2279,
632,1034,1522,2280,
633,1035,1523,2281,
634,1036,1524,2285,
635,1041,1527,2286,
636,1043,1529,2287,
637,1044,1530,2288,
638,1046,1531,2289,
639,1048,1532,2299,
640,1049,1533,2300,
641,1050,1534,2301,
642,1051,1535,2302,
643,1052,1536,2303,
644,1054,1539,2304,
